address,orig_size
10001000,21
10001015,26
1000102f,26
10001049,26
10001063,29
10001080,26
1000109a,106
10001104,178
100011b6,73
100011ff,1016
100015f7,513
100017f8,118
1000186e,158
1000190c,93
10001969,18
1000197b,130
100019fd,290
10001b1f,271
10001c2e,292
10001d52,208
10001e22,104
10001e8a,265
10001f93,184
1000204b,134
100020d1,166
10002177,308
100022ab,85
10002300,584
10002548,1323
10002a73,119
10002aea,132
10002b6e,160
10002c10,34
10002cc0,28
10002ce0,28
10002d00,47
10002d30,28
10002d50,486
10002f36,43
10002f61,118
10002fd7,59
10003012,532
10003226,120
1000329e,154
10003338,73
10003381,73
100033ca,264
100034d2,219
100035ad,650
10003837,98
10003899,328
100039e1,133
10003a70,32
10003a90,138
10003b1a,222
10003bf8,48
10003c28,245
10003d1d,38
10003d43,38
10003d69,40
10003d91,63
10003dd0,46
10003dfe,284
10003f1a,194
10003fdc,97
10004040,161
100040e1,30
100040ff,1101
1000454c,318
1000468a,750
10004978,119
100049ef,119
10004a66,390
10004bec,112
10004c5c,64
10004c9c,21
10004cb1,26
10004ccb,880
1000503b,119
100050b2,182
10005168,83
100051bb,82
1000520d,83
10005260,82
100052b2,83
10005305,146
10005397,83
100053ea,82
1000543c,122
100054b6,45
100054e3,45
10005510,45
1000553d,184
100055f5,353
10005756,296
1000587e,293
100059a3,154
10005a3d,193
10005afe,163
10005ba1,217
10005c7a,286
10005d98,195
10005e5b,193
10005f1c,150
10005fc0,539
100061db,189
10006298,115
1000630b,311
10006442,229
10006527,112
10006597,165
1000663c,364
100067a8,245
1000689d,50
100068cf,189
1000698c,119
10006a03,502
10006bf9,156
10006c95,129
10006d16,407
10006ead,217
10006f86,226
10007068,528
10007278,122
100072f2,178
100073b0,52
100073f0,32
10007410,59
10007450,551
10007677,123
100076f2,222
100077d0,33
100077f1,87
10007848,21
1000785d,26
10007877,554
10007aa1,46
10007acf,46
10007afd,102
10007b63,453
10007d28,318
10007eb0,44
10007ee0,53
10007f20,65
10007f70,55
10007fb0,87
10008010,353
10008171,118
100081e7,60
10008223,52
10008257,45
10008284,69
100082c9,73
10008312,65
10008353,48
10008383,69
100083c8,69
1000840d,69
10008452,69
10008497,69
100084dc,69
10008521,69
10008566,58
100085a0,69
100085e5,69
1000862a,65
1000866b,69
100086b0,69
100086f5,66
10008737,69
1000877c,55
100087b3,66
100087f5,73
1000883e,58
10008880,84
100088d4,142
10008962,486
10008b48,237
10008c35,375
10008dac,40
10008dd4,1398
1000934a,350
100094a8,37
100094cd,610
1000972f,131
100097b2,71
100097f9,1113
10009c52,109
10009cc0,30
10009ce0,30
10009d00,31
10009d20,31
10009d40,36
10009d70,64
10009db0,62
10009df0,61
10009e2e,6
10009e34,6
10009e3a,6
10009e40,6
10009e46,6
10009e4c,6
10009e52,6
10009e58,6
10009e5e,6
10009e64,6
10009e6a,6
10009e70,6
10009e76,6
10009e7c,6
10009e82,6
10009e88,6
10009e8e,6
10009e94,6
10009e9a,6
10009ea0,6
10009ea6,6
10009eac,6
10009eb2,6
10009eb8,6
10009ec0,156
10009f60,19
10009f86,6
10009f8c,6
10009f92,6
10009f98,6
10009f9e,6
10009fa4,6
10009faa,6
10009fb0,364
1000a120,191
1000a1e0,6
1000a1e6,6
