mok_address,mok_name,mok_orig_size,manalinkeh_address,manalinkeh_rva,manalinkeh_index_0based,manalinkeh_name
0x00401010,card_multiblocker_hook,5,0x0200b24a,0x0000b24a,8308,card_multiblocker_hook
0x00401e20,get_protections_from,5,0x0200b281,0x0000b281,8319,get_protections_from
0x00402930,can_pay_card_mana_cost,5,0x0200bb14,0x0000bb14,8758,compute_and_check_casting_cost
0x0042de60,charge_mana,5,0x02004ad5,0x00004ad5,3011,charge_mana
0x0042f1f0,format_mana_payment_prompt,5,0x0200459e,0x0000459e,2744,format_manacost_into_global_allpurpose_buffer
0x0042fed0,activate_mana_source_for_payment,5,0x0200e2c9,0x0000e2c9,10791,autotap_mana_source
0x00433190,draw_card_for_player,5,0x02002a28,0x00002a28,1338,draw_a_card
0x00433e10,resolve_card_on_stack,5,0x0200bad3,0x0000bad3,8745,put_card_on_stack3
0x004346e0,resolve_activated_ability,5,0x0200ba5b,0x0000ba5b,8721,finalize_activation
0x00434800,resolve_card_immediately,5,0x0200b286,0x0000b286,8320,resolve_trigger
0x00434960,choose_blockers_human,5,0x0200b91b,0x0000b91b,8657,human_assign_blockers
0x00434c30,can_attack,5,0x0200b42f,0x0000b42f,8405,can_attack
0x00434f30,can_block_attacker_with_landwalk_checks,5,0x0200b394,0x0000b394,8374,is_legal_block
0x00434f90,can_block_attacker_with_abilities,5,0x0200b399,0x0000b399,8375,is_legal_block_impl
0x004351c0,reassess_all_cards_and_mana,5,0x0200b24f,0x0000b24f,8309,recalculate_all_cards_in_play
0x004352d0,C_get_abilities,5,0x0200155b,0x0000155b,273,get_abilities
0x00435a40,C_dispatch_event_raw,5,0x020010dd,0x000010dd,43,dispatch_event_raw
0x00435b50,dispatch_event_to_single_card,5,0x0200e2ec,0x0000e2ec,10798,dispatch_event_to_single_card
0x00435f20,update_phase_display,5,0x0200b452,0x0000b452,8412,phase_changed
0x00435f50,play_sound_effect,5,0x0200e242,0x0000e242,10764,play_sound_effect
0x00436450,refresh_stack_proxy_card,5,0x0200ba56,0x0000ba56,8720,recopy_card_onto_stack
0x00436550,push_card_onto_stack,5,0x0200ba51,0x0000ba51,8719,put_card_or_activation_onto_stack
0x004371e0,dispatch_trigger,5,0x0200b1cd,0x0000b1cd,8283,dispatch_trigger
0x00437700,get_destroy_if_blocked_combat_flags,5,0x0200b470,0x0000b470,8418,check_destroys_if_blocked
0x0043a060,resolve_mana_burn,5,0x0200b93e,0x0000b93e,8664,mana_burn
0x0043a1b0,check_duel_finished,5,0x0200e319,0x0000e319,10807,is_anyone_dead
0x0043a280,can_activate_mana_source_for_stop_prompt,5,0x0200ba65,0x0000ba65,8723,is_a_tappable_mana_source
0x0043a2d0,activate_mana_source_card,5,0x0200ba6a,0x0000ba6a,8724,tap_card_for_mana
0x0043acf0,upkeep_phase,5,0x0200ba1a,0x0000ba1a,8708,upkeep_phase
0x0043d590,ai_decision_phase,5,0x0200ba1f,0x0000ba1f,8709,ai_decision_phase
0x00440f00,launch_mcu,5,0x0200e2dd,0x0000e2dd,10795,launch_mcu
0x00458070,ante_drawn_card,5,0x0200b484,0x0000b484,8422,ante_top_card_of_library
0x004671a0,get_hunting_subtype_name,5,0x02001d4e,0x00001d4e,680,get_card_or_subtype_name
0x00468160,get_card_display_pic_num,5,0x02001cb8,0x00001cb8,650,get_card_image_number
0x0046a000,load_startduel_assets2,5,0x0200e2d8,0x0000e2d8,10794,load_startduel_assets2
0x0046a0f0,load_startduel_assets,5,0x0200e2d3,0x0000e2d3,10793,load_startduel_assets
0x0046b6f0,load_endduel_assets,5,0x0200e2e2,0x0000e2e2,10796,load_endduel_assets
0x00471c70,CardTypeFromID,5,0x0200b77c,0x0000b77c,8574,get_internal_card_id_from_csv_id
0x004725c0,C_count_colors_of_lands_in_play,5,0x0200b39e,0x0000b39e,8376,count_colors_of_lands_in_play
0x00472d10,get_ai_search_elapsed_time,5,0x0200aa07,0x0000aa07,7885,check_timer_for_ai_speculation
0x00476f10,is_phase_stop_allowed_for_current_event,5,0x0200bb37,0x0000bb37,8765,current_trigger_or_event_is_forced
0x00477340,kill_creatures_with_lethal_damage,5,0x02007127,0x00007127,4973,after_damage
0x00477970,dispatch_card_trigger_event,5,0x0200892d,0x0000892d,6203,dispatch_trigger_to_one_card
0x004779f0,kill_card,5,0x0200bb69,0x0000bb69,8775,kill_card_exe
0x00477d90,clear_card_attachments,5,0x0200b222,0x0000b222,8300,destroy_attached_auras_and_obliterate_card
0x00477ec0,move_card_to_graveyard,5,0x0200bb28,0x0000bb28,8762,raw_put_card_in_graveyard
0x00477f30,remove_card_from_graveyard,5,0x0200bb2d,0x0000bb2d,8763,remove_card_from_grave
0x00479bf0,shuffle_duel_library,5,0x02001d17,0x00001d17,669,shuffle_for_exe
0x00479df0,find_internal_card_id_by_csv_id,5,0x0200b77c,0x0000b77c,8574,get_internal_card_id_from_csv_id
0x0047d2f0,resize_duel_hand_window,5,0x0200e24c,0x0000e24c,10766,update_hand_window
0x0047d940,real_target_available,5,0x0200a9ee,0x0000a9ee,7880,real_target_available
0x0047db90,C_real_validate_target,5,0x0200a9f8,0x0000a9f8,7882,real_validate_target
0x0047e9d0,C_real_select_target,5,0x0200a9f3,0x0000a9f3,7881,real_select_target
0x0048c9d0,card_instances_should_be_displayed_identically,5,0x0200bb19,0x0000bb19,8759,card_instances_should_be_displayed_identically
0x0048cb60,card_desperate_sentry,5,0x0200e2ce,0x0000e2ce,10792,card_desperate_sentry
0x0048cb80,get_special_counters_name,5,0x0200b97a,0x0000b97a,8676,get_special_counters_name
0x00495be0,sub_495BE0,5,0x0200ec2e,0x0000ec2e,11272,sub_495BE0
0x00498d90,save_ai_search_state,5,0x0200b3e4,0x0000b3e4,8390,backup_data_for_ai_0
0x00498df0,restore_ai_search_state,5,0x0200b3e9,0x0000b3e9,8391,restore_data_for_ai_0
0x00498e30,save_combat_simulation_state,5,0x0200b3da,0x0000b3da,8388,backup_data_for_ai
0x00498e70,restore_combat_simulation_state,5,0x0200b3df,0x0000b3df,8389,restore_data_for_ai
0x004a3170,tap_card_and_dispatch_event,5,0x0200b920,0x0000b920,8658,tap_card
0x004a66c0,damage_creature,5,0x0200b7f4,0x0000b7f4,8598,damage_creature
0x004b18e0,choose_blockers_ai,5,0x0200187b,0x0000187b,433,ai_assign_blockers
0x004b3850,adjust_two_headed_giant_damage,5,0x0200b245,0x0000b245,8307,process_multiblock
0x004b5d90,process_card_enters_play,5,0x0200e2e7,0x0000e2e7,10797,real_put_into_play
0x004b9220,can_block_with_landwalk_masks,5,0x0200b394,0x0000b394,8374,is_legal_block
0x004b9910,card_holy_armor,5,0x0200baba,0x0000baba,8740,card_holy_armor
0x004b9d20,card_blessing,5,0x0200babf,0x0000babf,8741,card_blessing
